# Лог очищен 2026-03-26 09:24:57
2026-03-26 09:24:59 - 🖱️ CALLBACK | User: 233014097 (@p_soroko) | Data: view_logs_menu | Message: 14027
2026-03-26 09:25:03 - 🖱️ CALLBACK | User: 233014097 (@p_soroko) | Data: view_log:debug.log:0 | Message: 14027
2026-03-26 09:25:06 - 🖱️ CALLBACK | User: 233014097 (@p_soroko) | Data: clean_log:debug.log | Message: 14027
2026-03-26 09:25:08 - 🖱️ CALLBACK | User: 233014097 (@p_soroko) | Data: view_logs_menu | Message: 14027
2026-03-26 09:25:12 - 🖱️ CALLBACK | User: 233014097 (@p_soroko) | Data: admin_storage_back | Message: 14027
2026-03-26 09:25:15 - 🖱️ CALLBACK | User: 233014097 (@p_soroko) | Data: view_logs_menu | Message: 14028
2026-03-26 09:25:29 - 📨 СООБЩЕНИЕ | User: 233014097 (@p_soroko) | Chat: 233014097 | Text: 🛠 Управление кнопками
2026-03-26 09:49:34 - 🖱️ CALLBACK | User: 233014097 (@p_soroko) | Data: admin_back | Message: 14030
2026-03-26 09:49:36 - 🖱️ CALLBACK | User: 233014097 (@p_soroko) | Data: admin_storage_back | Message: 14028
2026-03-26 09:49:38 - 🖱️ CALLBACK | User: 233014097 (@p_soroko) | Data: admin_back | Message: 14032
2026-03-26 09:49:40 - 📨 СООБЩЕНИЕ | User: 233014097 (@p_soroko) | Chat: 233014097 | Text: 📊 Статистика
2026-03-26 09:49:48 - 📨 СООБЩЕНИЕ | User: 233014097 (@p_soroko) | Chat: 233014097 | Text: 👥 Управление персоналом
2026-03-26 09:50:11 - 📨 СООБЩЕНИЕ | User: 233014097 (@p_soroko) | Chat: 233014097 | Text: 🗃 Управление хранилищем
2026-03-26 09:50:13 - 🖱️ CALLBACK | User: 233014097 (@p_soroko) | Data: view_logs_menu | Message: 14039
2026-03-26 09:50:16 - 🖱️ CALLBACK | User: 233014097 (@p_soroko) | Data: admin_storage_back | Message: 14039
2026-03-26 09:50:18 - 🖱️ CALLBACK | User: 233014097 (@p_soroko) | Data: view_users_menu | Message: 14040
2026-03-26 09:50:23 - 🖱️ CALLBACK | User: 233014097 (@p_soroko) | Data: admin_storage_back | Message: 14040
2026-03-26 09:50:25 - 🖱️ CALLBACK | User: 233014097 (@p_soroko) | Data: admin_back | Message: 14041
2026-03-26 09:50:26 - 🖱️ CALLBACK | User: 233014097 (@p_soroko) | Data: admin_back | Message: 14037
