id,user_id,username,title,content,site_news_id,status,error_message,created_at,published_at
16,233014097,p_soroko,тест,тест,11058,success,,2026-03-24 10:28:54.029699,2026-03-24 10:28:54.277558
15,233014097,p_soroko,тест,тест,11057,success,,2026-03-24 10:02:06.993220,2026-03-24 10:02:07.211156
14,233014097,p_soroko,Тест,тест,11056,success,,2026-03-24 09:51:53.041202,2026-03-24 09:51:53.292296
13,233014097,p_soroko,Тест,тест,11055,success,,2026-03-24 09:50:18.328187,2026-03-24 09:50:18.552325
12,233014097,p_soroko,Тест,Тест,11054,success,,2026-03-24 09:44:07.056050,2026-03-24 09:44:07.388238
11,233014097,p_soroko,Test,Test,11048,success,,2026-03-19 17:14:16.401038,2026-03-19 17:14:16.699127
10,233014097,p_soroko,Тест,Тест,11047,success,,2026-03-19 13:14:24.748335,2026-03-19 13:14:24.969288
9,233014097,p_soroko,test,test,11046,success,,2026-03-19 12:51:02.898647,2026-03-19 12:51:03.141463
8,233014097,p_soroko,Test,123,11045,success,,2026-03-19 12:02:08.795905,2026-03-19 12:02:09.083187
7,233014097,p_soroko,тест,тест,,error,HTTP ошибка 400,2026-03-19 11:51:57.484697,
6,233014097,p_soroko,тест,тсе,,error,HTTP ошибка 400,2026-03-19 11:45:44.511699,
5,233014097,p_soroko,тест,тест,,error,HTTP ошибка 400,2026-03-19 11:44:00.941033,
4,233014097,p_soroko,тест,тест,,error,HTTP ошибка 400,2026-03-19 11:43:41.231099,
3,233014097,p_soroko,Тест,Примерный текст,11042,success,,2026-03-19 09:41:50.093653,2026-03-19 09:41:50.466592
2,233014097,p_soroko,Тест,Тест,11041,success,,2026-03-19 08:42:16.851811,2026-03-19 08:42:17.140676
1,233014097,p_soroko,Test,Test,11040,success,,2026-03-19 07:47:24.830382,2026-03-19 07:47:25.186177
